match_date,home_team,away_team,closing_home_odds,closing_draw_odds,closing_away_odds,closing_ou_main_line,closing_over_odds,closing_under_odds,home_goals,away_goals,market_snapshot_lead_minutes,competition,neutral_venue,lineup_completeness,closing_ah_main_line,closing_fair_total_override,bookmaker_count
2020-09-18,Bayern Munich,Schalke 04,1.09,11.59,24.69,2.5,1.2,4.41,8,0,,D1,0,,-2.75,,
2020-09-19,Ein Frankfurt,Bielefeld,1.65,4.19,4.91,2.5,1.59,2.34,1,1,,D1,0,,-1,,
2020-09-19,FC Koln,Hoffenheim,2.6,3.6,2.59,2.5,1.59,2.36,2,3,,D1,0,,0,,
2020-09-19,Stuttgart,Freiburg,2.26,3.48,3.16,2.5,1.78,2.03,2,3,,D1,0,,-0.25,,
2020-09-19,Union Berlin,Augsburg,2.34,3.25,3.19,2.5,2.04,1.78,1,3,,D1,0,,-0.25,,
2020-09-19,Werder Bremen,Hertha,2.62,3.48,2.64,2.5,1.74,2.1,1,4,,D1,0,,0,,
2020-09-19,Dortmund,M'gladbach,1.63,4.36,4.91,2.5,1.44,2.75,3,0,,D1,0,,-0.75,,
2020-09-20,RB Leipzig,Mainz,1.37,5.48,7.5,2.5,1.37,3.05,3,1,,D1,0,,-1.5,,
2020-09-20,Wolfsburg,Leverkusen,2.89,3.44,2.43,2.5,1.74,2.09,0,0,,D1,0,,0.25,,
2020-09-25,Hertha,Ein Frankfurt,2.28,3.75,2.96,2.5,1.53,2.49,1,3,,D1,0,,-0.25,,
2020-09-26,Augsburg,Dortmund,6.99,4.82,1.43,2.5,1.52,2.52,2,0,,D1,0,,1.25,,
2020-09-26,Bielefeld,FC Koln,2.71,3.52,2.53,2.5,1.65,2.23,1,0,,D1,0,,0,,
2020-09-26,Leverkusen,RB Leipzig,3.03,3.65,2.25,2.5,1.56,2.42,1,1,,D1,0,,0.25,,
2020-09-26,Mainz,Stuttgart,2.42,3.53,2.84,2.5,1.61,2.31,1,4,,D1,0,,-0.25,,
2020-09-26,M'gladbach,Union Berlin,1.44,4.61,7.3,2.5,1.69,2.17,1,1,,D1,0,,-1.25,,
2020-09-26,Schalke 04,Werder Bremen,2.55,3.44,2.74,2.5,1.76,2.06,1,3,,D1,0,,0,,
2020-09-27,Hoffenheim,Bayern Munich,10.51,6.93,1.23,2.5,1.25,3.84,4,1,,D1,0,,2,,
2020-09-27,Freiburg,Wolfsburg,3.06,3.45,2.3,2.5,1.83,1.98,1,1,,D1,0,,0.25,,
2020-10-02,Union Berlin,Mainz,2.14,3.56,3.37,2.5,1.81,2.01,4,0,,D1,0,,-0.25,,
2020-10-03,Dortmund,Freiburg,1.3,5.85,9.31,2.5,1.45,2.71,4,0,,D1,0,,-1.5,,
2020-10-03,Ein Frankfurt,Hoffenheim,2.38,3.62,2.84,2.5,1.45,2.73,2,1,,D1,0,,-0.25,,
2020-10-03,FC Koln,M'gladbach,3.89,3.86,1.88,2.5,1.64,2.26,1,3,,D1,0,,0.5,,
2020-10-03,Stuttgart,Leverkusen,3.7,3.93,1.91,2.5,1.5,2.58,1,1,,D1,0,,0.5,,
2020-10-03,Werder Bremen,Bielefeld,2.14,3.56,3.3,2.5,1.77,2.05,1,0,,D1,0,,-0.25,,
2020-10-03,RB Leipzig,Schalke 04,1.26,6.14,10.84,2.5,1.42,2.84,4,0,,D1,0,,-1.75,,
2020-10-04,Wolfsburg,Augsburg,2.02,3.56,3.66,2.5,1.8,2.01,0,0,,D1,0,,-0.5,,
2020-10-04,Bayern Munich,Hertha,1.16,8.27,15.23,2.5,1.25,3.84,4,3,,D1,0,,-2.25,,
2020-10-17,Augsburg,RB Leipzig,5.76,4.52,1.53,2.5,1.52,2.51,0,2,,D1,0,,1,,
2020-10-17,Freiburg,Werder Bremen,2.26,3.51,3.12,2.5,1.79,2.02,1,1,,D1,0,,-0.25,,
2020-10-17,Hertha,Stuttgart,2.06,3.81,3.33,2.5,1.52,2.51,0,2,,D1,0,,-0.25,,
2020-10-17,Hoffenheim,Dortmund,4.03,4.32,1.76,2.5,1.38,2.99,0,1,,D1,0,,0.75,,
2020-10-17,Mainz,Leverkusen,5.13,4.35,1.61,2.5,1.46,2.68,0,1,,D1,0,,1,,
2020-10-17,Bielefeld,Bayern Munich,13.73,7.73,1.19,2.5,1.28,3.61,1,4,,D1,0,,2,,
2020-10-17,M'gladbach,Wolfsburg,1.86,3.85,4.01,2.5,1.67,2.2,1,1,,D1,0,,-0.5,,
2020-10-18,FC Koln,Ein Frankfurt,3.16,3.78,2.13,2.5,1.48,2.61,1,1,,D1,0,,0.25,,
2020-10-18,Schalke 04,Union Berlin,2.82,3.23,2.59,2.5,2.08,1.75,1,1,,D1,0,,0,,
2020-10-23,Stuttgart,FC Koln,1.92,3.91,3.75,2.5,1.57,2.41,1,1,,D1,0,,-0.5,,
2020-10-24,Bayern Munich,Ein Frankfurt,1.22,7.26,11.2,2.5,1.21,4.17,5,0,,D1,0,,-2,,
2020-10-24,Mainz,M'gladbach,4.82,4.15,1.67,2.5,1.57,2.4,2,3,,D1,0,,0.75,,
2020-10-24,RB Leipzig,Hertha,1.47,4.78,6.34,2.5,1.42,2.83,2,1,,D1,0,,-1.25,,
2020-10-24,Union Berlin,Freiburg,2.27,3.41,3.16,2.5,1.81,2.01,1,1,,D1,0,,-0.25,,
2020-10-24,Dortmund,Schalke 04,1.21,6.84,13.27,2.5,1.41,2.84,3,0,,D1,0,,-2,,
2020-10-25,Wolfsburg,Bielefeld,1.69,3.89,5.06,2.5,1.86,1.95,2,1,,D1,0,,-0.75,,
2020-10-25,Werder Bremen,Hoffenheim,3.0,3.72,2.25,2.5,1.56,2.41,1,1,,D1,0,,0.25,,
2020-10-26,Leverkusen,Augsburg,1.64,4.18,5.07,2.5,1.59,2.34,3,1,,D1,0,,-1,,
2020-10-30,Schalke 04,Stuttgart,3.15,3.61,2.23,2.5,1.68,2.19,1,1,,D1,0,,0.25,,
2020-10-31,Augsburg,Mainz,2.03,3.62,3.61,2.5,1.69,2.17,3,1,,D1,0,,-0.5,,
2020-10-31,Bielefeld,Dortmund,7.49,4.96,1.4,2.5,1.59,2.36,0,2,,D1,0,,1.25,,
2020-10-31,Ein Frankfurt,Werder Bremen,1.75,4.11,4.32,2.5,1.53,2.5,1,1,,D1,0,,-0.75,,
2020-10-31,FC Koln,Bayern Munich,13.96,8.08,1.18,2.5,1.23,4.03,1,2,,D1,0,,2.25,,
2020-10-31,M'gladbach,RB Leipzig,2.96,3.63,2.31,2.5,1.57,2.4,1,0,,D1,0,,0.25,,
2020-11-01,Freiburg,Leverkusen,3.71,3.57,2.0,2.5,1.74,2.09,2,4,,D1,0,,0.5,,
2020-11-01,Hertha,Wolfsburg,2.64,3.47,2.62,2.5,1.76,2.06,1,1,,D1,0,,0,,
2020-11-02,Hoffenheim,Union Berlin,1.86,3.87,4.03,2.5,1.61,2.31,1,3,,D1,0,,-0.5,,
2020-11-06,Werder Bremen,FC Koln,2.44,3.5,2.87,2.5,1.78,2.05,1,1,,D1,0,,-0.25,,
2020-11-07,Augsburg,Hertha,2.91,3.54,2.37,2.5,1.73,2.12,0,3,,D1,0,,0.25,,
2020-11-07,Mainz,Schalke 04,2.21,3.48,3.24,2.5,1.77,2.05,2,2,,D1,0,,-0.25,,
2020-11-07,RB Leipzig,Freiburg,1.35,5.24,8.71,2.5,1.53,2.51,3,0,,D1,0,,-1.5,,
2020-11-07,Stuttgart,Ein Frankfurt,2.67,3.66,2.5,2.5,1.5,2.56,2,2,,D1,0,,0,,
2020-11-07,Union Berlin,Bielefeld,1.84,3.69,4.31,2.5,1.96,1.85,5,0,,D1,0,,-0.5,,
2020-11-07,Dortmund,Bayern Munich,3.89,4.19,1.82,2.5,1.35,3.16,2,3,,D1,0,,0.75,,
2020-11-08,Wolfsburg,Hoffenheim,2.12,3.69,3.29,2.5,1.62,2.31,2,1,,D1,0,,-0.25,,
2020-11-08,Leverkusen,M'gladbach,2.36,3.56,2.92,2.5,1.67,2.22,4,3,,D1,0,,-0.25,,
2020-11-21,Bayern Munich,Werder Bremen,1.11,10.28,19.29,2.5,1.18,4.57,1,1,,D1,0,,-2.75,,
2020-11-21,Bielefeld,Leverkusen,5.77,4.34,1.55,2.5,1.64,2.26,1,2,,D1,0,,1,,
2020-11-21,Hoffenheim,Stuttgart,2.36,3.85,2.74,2.5,1.48,2.62,3,3,,D1,0,,-0.25,,
2020-11-21,M'gladbach,Augsburg,1.5,4.65,6.08,2.5,1.56,2.44,1,1,,D1,0,,-1,,
2020-11-21,Schalke 04,Wolfsburg,3.77,3.58,1.99,2.5,1.82,1.99,0,2,,D1,0,,0.5,,
2020-11-21,Ein Frankfurt,RB Leipzig,3.76,3.91,1.91,2.5,1.54,2.45,1,1,,D1,0,,0.5,,
2020-11-21,Hertha,Dortmund,4.87,4.31,1.64,2.5,1.57,2.42,2,5,,D1,0,,1,,
2020-11-22,Freiburg,Mainz,2.09,3.58,3.45,2.5,1.69,2.18,1,3,,D1,0,,-0.25,,
2020-11-22,FC Koln,Union Berlin,2.72,3.35,2.62,2.5,1.93,1.87,1,2,,D1,0,,0,,
2020-11-27,Wolfsburg,Werder Bremen,1.89,3.64,4.14,2.5,1.85,1.97,5,3,,D1,0,,-0.5,,
2020-11-28,Augsburg,Freiburg,2.42,3.43,2.91,2.5,1.74,2.08,1,1,,D1,0,,-0.25,,
2020-11-28,Dortmund,FC Koln,1.23,6.57,11.94,2.5,1.43,2.77,1,2,,D1,0,,-1.75,,
2020-11-28,RB Leipzig,Bielefeld,1.22,6.73,13.07,2.5,1.45,2.71,2,1,,D1,0,,-2,,
2020-11-28,Stuttgart,Bayern Munich,8.66,6.25,1.3,2.5,1.26,3.78,1,3,,D1,0,,1.75,,
2020-11-28,Union Berlin,Ein Frankfurt,2.51,3.52,2.73,2.5,1.65,2.25,3,3,,D1,0,,0,,
2020-11-28,M'gladbach,Schalke 04,1.35,5.3,8.36,2.5,1.53,2.51,4,1,,D1,0,,-1.5,,
2020-11-29,Leverkusen,Hertha,1.78,3.87,4.34,2.5,1.61,2.32,0,0,,D1,0,,-0.75,,
2020-11-29,Mainz,Hoffenheim,3.28,3.78,2.08,2.5,1.45,2.71,1,1,,D1,0,,0.25,,
2020-12-04,Hertha,Union Berlin,2.6,3.36,2.76,2.5,1.9,1.91,3,1,,D1,0,,0,,
2020-12-05,Bielefeld,Mainz,2.83,3.46,2.47,2.5,1.76,2.06,2,1,,D1,0,,0,,
2020-12-05,Ein Frankfurt,Dortmund,3.58,4.0,1.93,2.5,1.52,2.49,1,1,,D1,0,,0.5,,
2020-12-05,FC Koln,Wolfsburg,3.55,3.52,2.07,2.5,1.78,2.03,2,2,,D1,0,,0.5,,
2020-12-05,Freiburg,M'gladbach,3.67,3.7,1.98,2.5,1.61,2.31,2,2,,D1,0,,0.5,,
2020-12-05,Bayern Munich,RB Leipzig,1.41,5.27,6.77,2.5,1.3,3.43,3,3,,D1,0,,-1.25,,
2020-12-06,Werder Bremen,Stuttgart,2.73,3.56,2.48,2.5,1.68,2.18,1,2,,D1,0,,0,,
2020-12-06,Schalke 04,Leverkusen,6.11,4.42,1.52,2.5,1.66,2.21,0,3,,D1,0,,1,,
2020-12-07,Hoffenheim,Augsburg,1.84,3.92,3.97,2.5,1.51,2.53,3,1,,D1,0,,-0.5,,
2020-12-11,Wolfsburg,Ein Frankfurt,2.34,3.62,2.91,2.5,1.57,2.41,2,1,,D1,0,,-0.25,,
2020-12-12,Dortmund,Stuttgart,1.51,4.62,5.92,2.5,1.43,2.78,1,5,,D1,0,,-1,,
2020-12-12,Freiburg,Bielefeld,1.79,3.86,4.33,2.5,1.71,2.13,2,0,,D1,0,,-0.75,,
2020-12-12,Mainz,FC Koln,2.43,3.56,2.82,2.5,1.64,2.26,0,1,,D1,0,,0,,
2020-12-12,M'gladbach,Hertha,1.92,3.77,3.81,2.5,1.58,2.37,1,1,,D1,0,,-0.5,,
2020-12-12,RB Leipzig,Werder Bremen,1.36,5.24,8.4,2.5,1.51,2.53,2,0,,D1,0,,-1.5,,
2020-12-12,Union Berlin,Bayern Munich,8.51,6.28,1.3,2.5,1.33,3.27,1,1,,D1,0,,1.75,,
2020-12-13,Augsburg,Schalke 04,1.92,3.6,3.98,2.5,1.87,1.92,2,2,,D1,0,,-0.5,,
2020-12-13,Leverkusen,Hoffenheim,1.78,4.2,4.01,2.5,1.4,2.9,4,1,,D1,0,,-0.75,,
2020-12-15,Ein Frankfurt,M'gladbach,2.68,3.7,2.48,2.5,1.47,2.64,3,3,,D1,0,,0,,
2020-12-15,Hertha,Mainz,1.76,3.88,4.55,2.5,1.69,2.18,0,0,,D1,0,,-0.75,,
2020-12-15,Stuttgart,Union Berlin,2.14,3.52,3.37,2.5,1.75,2.07,2,2,,D1,0,,-0.25,,
2020-12-15,Werder Bremen,Dortmund,5.95,4.68,1.5,2.5,1.57,2.4,1,2,,D1,0,,1,,
2020-12-16,Schalke 04,Freiburg,3.01,3.48,2.33,2.5,1.76,2.06,0,2,,D1,0,,0.25,,
2020-12-16,Bayern Munich,Wolfsburg,1.34,5.56,8.15,2.5,1.3,3.38,2,1,,D1,0,,-1.5,,
2020-12-16,Bielefeld,Augsburg,2.87,3.18,2.58,2.5,2.1,1.73,0,1,,D1,0,,0,,
2020-12-16,FC Koln,Leverkusen,4.95,4.02,1.67,2.5,1.65,2.22,0,4,,D1,0,,0.75,,
2020-12-16,Hoffenheim,RB Leipzig,4.54,4.44,1.65,2.5,1.41,2.84,0,1,,D1,0,,1,,
2020-12-18,Union Berlin,Dortmund,4.81,3.95,1.7,2.5,1.75,2.07,2,1,,D1,0,,0.75,,
2020-12-19,Augsburg,Ein Frankfurt,3.7,3.7,1.97,2.5,1.63,2.27,0,2,,D1,0,,0.5,,
2020-12-19,Mainz,Werder Bremen,2.47,3.3,2.94,2.5,1.85,1.95,0,1,,D1,0,,-0.25,,
2020-12-19,M'gladbach,Hoffenheim,1.89,4.06,3.69,2.5,1.4,2.88,1,2,,D1,0,,-0.5,,
2020-12-19,RB Leipzig,FC Koln,1.31,5.57,9.69,2.5,1.54,2.46,0,0,,D1,0,,-1.5,,
2020-12-19,Schalke 04,Bielefeld,2.23,3.35,3.32,2.5,2.0,1.8,0,1,,D1,0,,-0.25,,
2020-12-19,Leverkusen,Bayern Munich,3.87,4.08,1.84,2.5,1.37,3.04,1,2,,D1,0,,0.75,,
2020-12-20,Freiburg,Hertha,2.6,3.42,2.69,2.5,1.78,2.02,4,1,,D1,0,,0,,
2020-12-20,Wolfsburg,Stuttgart,2.26,3.63,3.01,2.5,1.58,2.36,1,0,,D1,0,,-0.25,,
2021-01-02,Bielefeld,M'gladbach,5.62,4.17,1.59,2.5,1.69,2.17,0,1,,D1,0,,1,,
2021-01-02,Ein Frankfurt,Leverkusen,3.26,3.79,2.09,2.5,1.51,2.52,2,1,,D1,0,,0.25,,
2021-01-02,FC Koln,Augsburg,2.35,3.29,3.14,2.5,2.03,1.78,0,1,,D1,0,,-0.25,,
2021-01-02,Hoffenheim,Freiburg,2.04,3.75,3.41,2.5,1.53,2.47,1,3,,D1,0,,-0.25,,
2021-01-02,Werder Bremen,Union Berlin,2.9,3.29,2.51,2.5,1.97,1.83,0,2,,D1,0,,0,,
2021-01-02,Hertha,Schalke 04,1.72,3.87,4.75,2.5,1.81,2.0,3,0,,D1,0,,-0.75,,
2021-01-02,Stuttgart,RB Leipzig,3.9,4.0,1.85,2.5,1.53,2.47,0,1,,D1,0,,0.75,,
2021-01-03,Dortmund,Wolfsburg,1.58,4.29,5.4,2.5,1.54,2.44,2,0,,D1,0,,-1,,
2021-01-03,Bayern Munich,Mainz,1.11,10.17,21.74,2.5,1.21,4.22,5,2,,D1,0,,-2.75,,
2021-01-08,M'gladbach,Bayern Munich,4.93,4.76,1.59,2.5,1.3,3.49,3,2,,D1,0,,1,,
2021-01-09,Freiburg,FC Koln,1.94,3.6,3.95,2.5,1.86,1.95,5,0,,D1,0,,-0.5,,
2021-01-09,Leverkusen,Werder Bremen,1.47,4.59,6.74,2.5,1.66,2.23,1,1,,D1,0,,-1.25,,
2021-01-09,Mainz,Ein Frankfurt,3.51,3.92,1.97,2.5,1.53,2.49,0,2,,D1,0,,0.5,,
2021-01-09,Schalke 04,Hoffenheim,4.44,4.1,1.73,2.5,1.55,2.46,4,0,,D1,0,,0.75,,
2021-01-09,Union Berlin,Wolfsburg,2.95,3.31,2.48,2.5,1.92,1.9,2,2,,D1,0,,0,,
2021-01-09,RB Leipzig,Dortmund,2.3,3.51,3.05,2.5,1.72,2.13,1,3,,D1,0,,-0.25,,
2021-01-10,Augsburg,Stuttgart,3.3,3.51,2.18,2.5,1.76,2.07,1,4,,D1,0,,0.25,,
2021-01-10,Bielefeld,Hertha,4.1,3.58,1.91,2.5,2.02,1.8,1,0,,D1,0,,0.5,,
2021-01-15,Union Berlin,Leverkusen,3.25,3.44,2.24,2.5,1.9,1.91,1,0,,D1,0,,0.25,,
2021-01-16,Dortmund,Mainz,1.2,7.2,13.63,2.5,1.37,3.08,1,1,,D1,0,,-2,,
2021-01-16,FC Koln,Hertha,3.29,3.25,2.29,2.5,2.1,1.74,0,0,,D1,0,,0.25,,
2021-01-16,Hoffenheim,Bielefeld,1.71,3.88,4.92,2.5,1.68,2.2,0,0,,D1,0,,-0.75,,
2021-01-16,Werder Bremen,Augsburg,2.2,3.3,3.44,2.5,2.11,1.73,2,0,,D1,0,,-0.25,,
2021-01-16,Wolfsburg,RB Leipzig,3.51,3.6,2.06,2.5,1.77,2.06,2,2,,D1,0,,0.25,,
2021-01-16,Stuttgart,M'gladbach,2.88,3.77,2.31,2.5,1.49,2.57,2,2,,D1,0,,0.25,,
2021-01-17,Bayern Munich,Freiburg,1.23,6.92,10.74,2.5,1.26,3.79,2,1,,D1,0,,-2,,
2021-01-17,Ein Frankfurt,Schalke 04,1.52,4.47,6.1,2.5,1.54,2.47,3,1,,D1,0,,-1,,
2021-01-19,M'gladbach,Werder Bremen,1.6,4.15,5.55,2.5,1.74,2.11,1,0,,D1,0,,-1,,
2021-01-19,Hertha,Hoffenheim,2.31,3.49,3.06,2.5,1.65,2.24,0,3,,D1,0,,-0.25,,
2021-01-19,Leverkusen,Dortmund,3.11,3.75,2.19,2.5,1.55,2.43,2,1,,D1,0,,0.25,,
2021-01-19,Mainz,Wolfsburg,4.03,3.83,1.86,2.5,1.67,2.21,0,2,,D1,0,,0.5,,
2021-01-20,Schalke 04,FC Koln,2.62,3.25,2.79,2.5,2.11,1.73,1,2,,D1,0,,0,,
2021-01-20,Augsburg,Bayern Munich,12.19,7.08,1.21,2.5,1.32,3.34,0,1,,D1,0,,2,,
2021-01-20,Bielefeld,Stuttgart,4.32,3.77,1.82,2.5,1.81,2.01,3,0,,D1,0,,0.75,,
2021-01-20,Freiburg,Ein Frankfurt,2.87,3.47,2.43,2.5,1.61,2.3,2,2,,D1,0,,0,,
2021-01-20,RB Leipzig,Union Berlin,1.51,4.2,6.87,2.5,1.75,2.08,1,0,,D1,0,,-1,,
2021-01-22,M'gladbach,Dortmund,3.26,3.74,2.11,2.5,1.49,2.59,4,2,,D1,0,,0.25,,
2021-01-23,Augsburg,Union Berlin,3.61,3.38,2.11,2.5,2.02,1.8,2,1,,D1,0,,0.25,,
2021-01-23,Bielefeld,Ein Frankfurt,4.5,3.78,1.78,2.5,1.72,2.13,1,5,,D1,0,,0.75,,
2021-01-23,Freiburg,Stuttgart,2.64,3.71,2.51,2.5,1.57,2.38,2,1,,D1,0,,0,,
2021-01-23,Leverkusen,Wolfsburg,2.07,3.63,3.47,2.5,1.71,2.14,0,1,,D1,0,,-0.5,,
2021-01-23,Mainz,RB Leipzig,7.57,4.81,1.41,2.5,1.63,2.27,3,2,,D1,0,,1.25,,
2021-01-23,Hertha,Werder Bremen,2.15,3.4,3.47,2.5,2.15,1.7,1,4,,D1,0,,-0.25,,
2021-01-24,Schalke 04,Bayern Munich,13.48,7.92,1.18,2.5,1.24,3.95,0,4,,D1,0,,2.25,,
2021-01-24,Hoffenheim,FC Koln,1.82,3.61,4.48,2.5,1.74,2.09,3,0,,D1,0,,-0.5,,
2021-01-29,Stuttgart,Mainz,1.68,4.11,4.84,2.5,1.53,2.5,2,0,,D1,0,,-0.75,,
2021-01-30,Bayern Munich,Hoffenheim,1.24,7.03,10.22,2.5,1.21,4.3,4,1,,D1,0,,-2,,
2021-01-30,Dortmund,Augsburg,1.26,6.34,10.8,2.5,1.39,2.95,3,1,,D1,0,,-1.75,,
2021-01-30,Ein Frankfurt,Hertha,1.79,3.82,4.4,2.5,1.64,2.27,3,1,,D1,0,,-0.75,,
2021-01-30,Union Berlin,M'gladbach,3.28,3.38,2.24,2.5,1.78,2.04,1,1,,D1,0,,0.25,,
2021-01-30,Werder Bremen,Schalke 04,1.95,3.54,3.98,2.5,1.92,1.89,1,1,,D1,0,,-0.5,,
2021-01-30,RB Leipzig,Leverkusen,1.93,3.6,4.0,2.5,1.7,2.16,1,0,,D1,0,,-0.5,,
2021-01-31,FC Koln,Bielefeld,2.27,3.21,3.39,2.5,2.18,1.68,3,1,,D1,0,,-0.25,,
2021-01-31,Wolfsburg,Freiburg,1.85,3.74,4.13,2.5,1.71,2.14,3,0,,D1,0,,-0.5,,
2021-02-05,Hertha,Bayern Munich,7.09,5.57,1.38,2.5,1.33,3.28,0,1,,D1,0,,1.5,,
2021-02-06,Augsburg,Wolfsburg,4.58,3.58,1.82,2.5,1.87,1.94,0,2,,D1,0,,0.75,,
2021-02-06,Freiburg,Dortmund,5.15,4.27,1.61,2.5,1.51,2.54,2,1,,D1,0,,1,,
2021-02-06,Leverkusen,Stuttgart,1.99,3.78,3.6,2.5,1.53,2.5,5,2,,D1,0,,-0.5,,
