fixture_id,match,home_team,away_team,kickoff_utc,kickoff_cst,group,venue,city,country,odds_1x2,ah_line,ah_home_odds,ah_away_odds,ou_line,over_odds,under_odds,bookmaker_count,squad_status,lineup_status,injury_status,standings_status,h2h_status,referee_status,weather_possible,missing_fields,next_refresh_time
1489369,Mexico vs South Africa,Mexico,South Africa,2026-06-11 19:00 UTC,2026-06-12 03:00,Group Stage - 1,Estadio Azteca,Mexico City,Mexico,Home=1.40 | Draw=4.30 | Away=8.75,"Home -1=1.70, Away -1=2.15, Home -0.5=1.48, Away -0.5=2.65, Home -1.5=2.30, Away -1.5=1.62","Home -1=1.70, Home -0.5=1.48, Home -1.5=2.30","Away -1=2.15, Away -0.5=2.65, Away -1.5=1.62","Over 1.5=1.38, Under 1.5=3.00, Over 2.5=2.10, Under 2.5=1.70, Over 3.5=3.80, Under 3.5=1.25","Over 1.5=1.38, Over 2.5=2.10, Over 3.5=3.80","Under 1.5=3.00, Under 2.5=1.70, Under 3.5=1.25",14,AVAILABLE,"WAIT (pre-match, T-1h)",ENDPOINT_AVAILABLE (current=0),READY (48/48 teams),ENDPOINT_READY,MISSING (pending FIFA assignment),"YES (open-meteo, free, no key needed)",referee,2026-06-10 20:45 CST (T+6h)
1538999,South Korea vs Czech Republic,South Korea,Czech Republic,2026-06-12 02:00 UTC,2026-06-12 10:00,Group Stage - 1,Estadio Akron,Guadalajara,USA,Home=2.60 | Draw=3.10 | Away=2.76,"Home -0.5=2.55, Away -0.5=1.48, Home +0=1.80, Away +0=1.93","Home -0.5=2.55, Home +0=1.80","Away -0.5=1.48, Away +0=1.93","Over 1.5=1.42, Under 1.5=2.80, Over 2.5=2.25, Under 2.5=1.62, Over 3.5=4.20, Under 3.5=1.22","Over 1.5=1.42, Over 2.5=2.25, Over 3.5=4.20","Under 1.5=2.80, Under 2.5=1.62, Under 3.5=1.22",14,AVAILABLE,"WAIT (pre-match, T-1h)",ENDPOINT_AVAILABLE (current=0),READY (48/48 teams),ENDPOINT_READY,MISSING (pending FIFA assignment),"YES (open-meteo, free, no key needed)",referee,2026-06-10 20:45 CST (T+6h)
1539000,Canada vs Bosnia & Herzegovina,Canada,Bosnia & Herzegovina,2026-06-12 19:00 UTC,2026-06-13 03:00,Group Stage - 1,BMO Field,Toronto,Canada,Home=1.78 | Draw=3.50 | Away=4.50,"Home -1=2.45, Away -1=1.50, Home -0.5=1.73, Away -0.5=2.05, Home +0=1.30, Away +0=3.25","Home -1=2.45, Home -0.5=1.73, Home +0=1.30","Away -1=1.50, Away -0.5=2.05, Away +0=3.25","Over 1.5=1.40, Under 1.5=2.90, Over 2.5=2.20, Under 2.5=1.65, Over 3.5=4.20, Under 3.5=1.22","Over 1.5=1.40, Over 2.5=2.20, Over 3.5=4.20","Under 1.5=2.90, Under 2.5=1.65, Under 3.5=1.22",14,AVAILABLE,"WAIT (pre-match, T-1h)",ENDPOINT_AVAILABLE (current=0),READY (48/48 teams),ENDPOINT_READY,MISSING (pending FIFA assignment),"YES (open-meteo, free, no key needed)",referee,2026-06-10 20:45 CST (T+6h)
1489370,USA vs Paraguay,USA,Paraguay,2026-06-13 01:00 UTC,2026-06-13 09:00,Group Stage - 1,SoFi Stadium,Los Angeles,USA,Home=1.98 | Draw=3.30 | Away=4.00,"Home -0.5=1.95, Away -0.5=1.85, Home +0=1.42, Away +0=2.85","Home -0.5=1.95, Home +0=1.42","Away -0.5=1.85, Away +0=2.85","Over 1.5=1.42, Under 1.5=2.80, Over 2.5=2.25, Under 2.5=1.62, Over 3.5=4.20, Under 3.5=1.22","Over 1.5=1.42, Over 2.5=2.25, Over 3.5=4.20","Under 1.5=2.80, Under 2.5=1.62, Under 3.5=1.22",14,AVAILABLE,"WAIT (pre-match, T-1h)",ENDPOINT_AVAILABLE (current=0),READY (48/48 teams),ENDPOINT_READY,MISSING (pending FIFA assignment),"YES (open-meteo, free, no key needed)",referee,2026-06-10 20:45 CST (T+6h)
1489373,Qatar vs Switzerland,Qatar,Switzerland,2026-06-13 19:00 UTC,2026-06-14 03:00,Group Stage - 1,Levi's Stadium,San Francisco Bay Area,USA,Home=15.50 | Draw=5.60 | Away=1.21,"Home +1=3.00, Away +1=1.40, Home +2=1.67, Away +2=2.20, Home +1.5=2.15, Away +1.5=1.70","Home +1=3.00, Home +2=1.67, Home +1.5=2.15","Away +1=1.40, Away +2=2.20, Away +1.5=1.70","Over 1.5=1.20, Under 1.5=4.33, Over 2.5=1.65, Under 2.5=2.20, Over 3.5=2.62, Under 3.5=1.48","Over 1.5=1.20, Over 2.5=1.65, Over 3.5=2.62","Under 1.5=4.33, Under 2.5=2.20, Under 3.5=1.48",13,AVAILABLE,"WAIT (pre-match, T-1h)",ENDPOINT_AVAILABLE (current=0),READY (48/48 teams),ENDPOINT_READY,MISSING (pending FIFA assignment),"YES (open-meteo, free, no key needed)",referee,2026-06-10 20:45 CST (T+6h)
1489371,Brazil vs Morocco,Brazil,Morocco,2026-06-13 22:00 UTC,2026-06-14 06:00,Group Stage - 1,MetLife Stadium,New York New Jersey,USA,Home=1.62 | Draw=3.60 | Away=5.60,"Home -1=2.15, Away -1=1.70, Home -0.5=1.62, Away -0.5=2.30","Home -1=2.15, Home -0.5=1.62","Away -1=1.70, Away -0.5=2.30","Over 1.5=1.33, Under 1.5=3.25, Over 2.5=2.00, Under 2.5=1.80, Over 3.5=3.45, Under 3.5=1.30","Over 1.5=1.33, Over 2.5=2.00, Over 3.5=3.45","Under 1.5=3.25, Under 2.5=1.80, Under 3.5=1.30",13,AVAILABLE,"WAIT (pre-match, T-1h)",ENDPOINT_AVAILABLE (current=0),READY (48/48 teams),ENDPOINT_READY,MISSING (pending FIFA assignment),"YES (open-meteo, free, no key needed)",referee,2026-06-10 20:45 CST (T+6h)
1489372,Haiti vs Scotland,Haiti,Scotland,2026-06-14 01:00 UTC,2026-06-14 09:00,Group Stage - 1,Gillette Stadium,Boston,USA,Home=6.20 | Draw=4.00 | Away=1.52,"Home +0.5=2.50, Away +0.5=1.53, Home +1=1.90, Away +1=1.91, Home +1.5=1.62, Away +1.5=2.30","Home +0.5=2.50, Home +1=1.90, Home +1.5=1.62","Away +0.5=1.53, Away +1=1.91, Away +1.5=2.30","Over 1.5=1.28, Under 1.5=3.55, Over 2.5=1.85, Under 2.5=1.90, Over 3.5=3.25, Under 3.5=1.33","Over 1.5=1.28, Over 2.5=1.85, Over 3.5=3.25","Under 1.5=3.55, Under 2.5=1.90, Under 3.5=1.33",13,AVAILABLE,"WAIT (pre-match, T-1h)",ENDPOINT_AVAILABLE (current=0),READY (48/48 teams),ENDPOINT_READY,MISSING (pending FIFA assignment),"YES (open-meteo, free, no key needed)",referee,2026-06-10 20:45 CST (T+6h)
1539001,Australia vs Türkiye,Australia,Türkiye,2026-06-14 04:00 UTC,2026-06-14 12:00,Group Stage - 1,BC Place,Vancouver,Canada,Home=4.75 | Draw=3.65 | Away=1.70,"Home +0.5=2.15, Away +0.5=1.67, Home +1=1.60, Away +1=2.25","Home +0.5=2.15, Home +1=1.60","Away +0.5=1.67, Away +1=2.25","Over 1.5=1.33, Under 1.5=3.25, Over 2.5=2.00, Under 2.5=1.80, Over 3.5=3.50, Under 3.5=1.28","Over 1.5=1.33, Over 2.5=2.00, Over 3.5=3.50","Under 1.5=3.25, Under 2.5=1.80, Under 3.5=1.28",13,AVAILABLE,"WAIT (pre-match, T-1h)",ENDPOINT_AVAILABLE (current=0),READY (48/48 teams),ENDPOINT_READY,MISSING (pending FIFA assignment),"YES (open-meteo, free, no key needed)",referee,2026-06-10 20:45 CST (T+6h)
1489374,Germany vs Curaçao,Germany,Curaçao,2026-06-14 17:00 UTC,2026-06-15 01:00,Group Stage - 1,NRG Stadium,Houston,USA,Home=1.03 | Draw=16.50 | Away=29.00,"Home -3=1.53, Away -3=2.50, Home -3.5=1.90, Away -3.5=1.91","Home -3=1.53, Home -3.5=1.90","Away -3=2.50, Away -3.5=1.91","Over 2.5=1.18, Under 2.5=4.75, Over 3.5=1.48, Under 3.5=2.60, Over 4.5=2.10, Under 4.5=1.70","Over 2.5=1.18, Over 3.5=1.48, Over 4.5=2.10","Under 2.5=4.75, Under 3.5=2.60, Under 4.5=1.70",13,AVAILABLE,"WAIT (pre-match, T-1h)",ENDPOINT_AVAILABLE (current=0),READY (48/48 teams),ENDPOINT_READY,MISSING (pending FIFA assignment),"YES (open-meteo, free, no key needed)",referee,2026-06-10 20:45 CST (T+6h)
1489376,Netherlands vs Japan,Netherlands,Japan,2026-06-14 20:00 UTC,2026-06-15 04:00,Group Stage - 1,AT&T Stadium,Dallas,USA,Home=1.95 | Draw=3.50 | Away=3.65,"Home -0.5=1.95, Away -0.5=1.85, Home +0=1.45, Away +0=2.75","Home -0.5=1.95, Home +0=1.45","Away -0.5=1.85, Away +0=2.75","Over 1.5=1.30, Under 1.5=3.45, Over 2.5=1.93, Under 2.5=1.85, Over 3.5=3.40, Under 3.5=1.30","Over 1.5=1.30, Over 2.5=1.93, Over 3.5=3.40","Under 1.5=3.45, Under 2.5=1.85, Under 3.5=1.30",13,AVAILABLE,"WAIT (pre-match, T-1h)",ENDPOINT_AVAILABLE (current=0),READY (48/48 teams),ENDPOINT_READY,MISSING (pending FIFA assignment),"YES (open-meteo, free, no key needed)",referee,2026-06-10 20:45 CST (T+6h)
